AssetID	AssetType	Type	Id	Depth	Name	DependencyType
6401	LP_REG_WWHQ-FY21-GSB16432-37_T1___Consideration_Article_1991-VB-3reasons-WhiteInk-eBook-be-nl	NA	NA	NA	NA	NA
6408	LP_REG_WWHQ-FY21-GSB16432-37_T1___Consideration_Article_1991-VB-3reasons-WhiteInk-eBook-pl-pl	NA	NA	NA	NA	NA
6420	LP_REG_WWHQ-FY21-GSB16432-37_T1___Consideration_Article_1991-VB-3reasons-WhiteInk-eBook-kr-ko	NA	NA	NA	NA	NA
6422	LP_REG_WWHQ-FY21-GSB16432-37_T1___Consideration_Article_1991-VB-3reasons-WhiteInk-eBook-pt-pt	NA	NA	NA	NA	NA
6425	test adi iframe progressive	NA	NA	NA	NA	NA
6434	LP_REG_WWHQ-FY21-GSB16432-37_T1___Consideration_Article_1991-VB-3reasons-WhiteInk-eBook-ch-de	NA	NA	NA	NA	NA
6454	LP_REG_FR-FY22-PS16765-2_T1___Awareness_HighValue-MasterPage_2199-HPPresence-ContactUs	NA	NA	NA	NA	NA
6455	HPMartech - Global nav check	NA	NA	NA	NA	NA
6456	LP_REG_FY22-PS16772-18_T1-A_Awareness_Article_Survey-Page-BPS	Email	8226	minimal	EM_IN_US-FY22-PS16772-18_T1-A_Awareness_Survey-Page-EDM	NA
6456	LP_REG_FY22-PS16772-18_T1-A_Awareness_Article_Survey-Page-BPS	Email	8489	minimal	EM_IN_US-FY22-PS16772-18_T2-A_Awareness_Survey-Page-EDM	NA
6456	LP_REG_FY22-PS16772-18_T1-A_Awareness_Article_Survey-Page-BPS	Email	8490	minimal	EM_IN_US-FY22-PS16772-18_T3-A_Awareness_Survey-Page-EDM	NA
6456	LP_REG_FY22-PS16772-18_T1-A_Awareness_Article_Survey-Page-BPS	Email	8576	minimal	EM_IN_US-FY22-PS16772-18_T2-A_Awareness_Survey-Page-EDM-Sales-Rep	NA
6456	LP_REG_FY22-PS16772-18_T1-A_Awareness_Article_Survey-Page-BPS	Campaign	400857	minimal	MC_US-FY22-PS16772-18_Newsletter_Rewire-December-January	NA
6456	LP_REG_FY22-PS16772-18_T1-A_Awareness_Article_Survey-Page-BPS	Campaign	402159	minimal	MC_US-FY22-PS16772-18_Newsletter_Rewire-TEXT ONLY VERSION	NA
6457	LP_REG_US-FY22-PRINT16745-3_T1___Awareness_Article_2197-HP-AskMeAnything-Webinar-Series	NA	NA	NA	NA	NA
6458	LP_REG_FR-FY22-3DP16800-13_T1___Awareness_Article_fr-fr-3dprint-workshop	NA	NA	NA	NA	NA
